STATE,State_Population_Total,Registered_Voters_Total,%Registered_Total,Total_Voters,Total_Voters%,Male_Population_Total,Male_Registered_Voters_Total,Male_Registered_Voters%,Male_Total_Voted,Male_%Voted,Female_Population_Total,Female_Registered_Voters_Total,Female_Registered_Voters%,Female_Total_Voted,Female_%Voted,White_non-Hispanic_Population_Total,White_non-Hispanic_Registered_Voters_Total,White_non-Hispanic_Registered_Voters %,White_non-Hispanic_Total_Voted,White_non-Hispanic_%Voted,Black_Population_Total,Black_Registered _Voters_Total,Black_Registered_Voters%,Black_Total_Voted,Black_%Voted,Asian_Population_Total,Asian_Registered_Voters_Total,Asian_Registered_Voters%,Asian_Total_Voted,Asian_%Voted,Hispanic_Population_Total,Hispanic_Registered_Voters_Total,Hispanic_Registered_Voters%,Hispanic_Total_Voted,Hispanic_%Voted,18-24_Population_Total,18-24_Registered_Voters_Total,18-24_Registered_Voters%,18-24_Total_Voted,18-24_%Voted,25-34_Population_Total,25-34_Registered_Voters_Total,25-34_Registered_Voters%,25-34_Total_Voted,25-34_%Voted,35-44_Population_Total,35-44_Registered_Voters_Total,35-44_Registered_Voters%,35-44_Total_Voted,35-44_%Voted,45-64_Population_Total,45-64_Registered_Voters_Total,45-64_Registered_Voters%,45-64_Total_Voted,45-64_%Voted,65+_Population_Total,65+_Registered_Voters_Total,65+_Registered_Voters%,65+_Total_Voted,65+_%Voted
SOUTH CAROLINA,3914,2430,62.1,1836,46.9,1849,1121,60.6,828,44.8,2066,1309,63.4,1007,48.8,2610,1690,64.8,1257,48.1,1000,646,64.6,519,51.9,54,19,0,9,0,207,36,17.7,19,9.3,391,176,44.9,91,23.3,752,407,54.1,228,30.3,556,323,58.1,265,47.7,1249,802,64.2,638,51.1,965,721,74.8,613,63.6
SOUTH DAKOTA,648,429,66.2,331,51,325,207,63.8,160,49.4,323,222,68.6,170,52.7,561,389,69.4,303,54.1,12,2,0.00001,1,0.00001,5,1,0.00001,1,0.00001,15,5,0,4,0,91,42,46.2,24,25.8,109,57,52.5,33,30.3,95,61,64.4,40,42.5,204,155,76.1,136,66.7,150,114,75.9,98,65.5
TENNESSEE,5202,3183,61.2,2487,47.8,2501,1476,59,1174,46.9,2701,1707,63.2,1313,48.6,3879,2536,65.4,1991,51.3,830,484,58.3,368,44.3,109,32,29.4,29,26.8,282,69,24.5,48,17,601,265,44.1,184,30.7,917,466,50.8,338,36.8,832,533,64.1,388,46.6,1738,1143,65.8,916,52.7,1114,776,69.6,661,59.4
TEXAS,21064,11634,55.2,8886,42.2,10274,5361,52.2,4064,39.6,10790,6273,58.1,4822,44.7,9492,6686,70.4,5394,56.8,2625,1580,60.2,1203,45.8,1097,397,36.2,288,26.3,7658,2843,37.1,1918,25,2875,1217,42.3,718,25,4189,1835,43.8,1297,31,3690,1895,51.3,1388,37.6,6564,4061,61.9,3223,49.1,3746,2627,70.1,2259,60.3
UTAH,2247,1443,64.2,1214,54,1109,691,62.3,568,51.2,1138,752,66.1,646,56.8,1799,1293,71.9,1092,60.7,31,8,0.00001,5,0.00001,63,26,0.00001,22,0.00001,291,96,32.8,82,28.3,323,142,44,107,33.1,477,248,52,181,37.9,471,315,66.8,263,55.8,606,456,75.3,399,65.8,370,282,76.3,265,71.8
VERMONT,503,343,68.1,273,54.2,247,168,68.2,132,53.6,257,175,68,141,54.7,472,323,68.6,258,54.6,4,2,0.00001,1,0.00001,5,3,0.00001,3,0.00001,8,7,0,6,0,46,22,0,16,0,86,50,57.8,34,39.6,77,47,60.9,37,48.7,164,121,73.5,98,59.5,130,104,80,88,67.5
VIRGINIA,6386,4159,65.1,3319,52,3051,1958,64.2,1578,51.7,3335,2201,66,1742,52.2,3874,2924,75.5,2314,59.7,1198,754,63,637,53.2,510,226,44.3,169,33.2,669,159,23.8,112,16.8,618,313,50.6,221,35.8,1191,674,56.6,514,43.1,1063,605,56.9,411,38.6,2223,1539,69.2,1298,58.4,1291,1029,79.7,875,67.8
WASHINGTON,5775,3852,66.7,3234,56,2869,1861,64.9,1541,53.7,2906,1991,68.5,1693,58.2,3995,2983,74.7,2558,64,232,155,66.8,103,44.2,530,262,49.4,224,42.2,736,267,36.3,204,27.8,624,315,50.4,201,32.2,1067,637,59.7,455,42.6,1034,672,65,591,57.1,1972,1365,69.2,1185,60.1,1079,864,80.1,802,74.3
WEST VIRGINIA,1406,892,63.4,610,43.4,685,423,61.7,294,43,721,470,65.1,316,43.8,1291,847,65.6,582,45.1,49,19,0.00001,12,0.00001,17,4,0.00001,3,0.00001,24,10,0,4,0,169,79,47,36,21.3,201,98,48.7,50,24.8,199,120,59.9,73,36.7,478,320,67,229,47.9,358,275,76.7,222,62
WISCONSIN,4436,3129,70.5,2776,62.6,2186,1519,69.5,1328,60.7,2250,1610,71.6,1448,64.4,3782,2815,74.5,2514,66.5,264,137,51.7,110,41.7,89,52,58.6,52,58.6,232,91,39.3,84,36.3,471,254,54,221,46.9,747,424,56.8,339,45.5,703,438,62.3,388,55.2,1490,1189,79.8,1056,70.9,1026,824,80.3,772,75.2
WYOMING,430,268,62.4,220,51.2,216,134,61.8,107,49.7,214,135,62.9,113,52.7,369,244,66,202,54.7,5,3,0.00001,2,0.00001,3,0,0.00001,0,0.00001,41,16,0,13,0,44,15,0,9,0,84,42,50.1,28,33.6,67,40,0,28,0,142,98,69.3,88,62,94,73,77.3,67,71.1
